what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ant.ui,3.5.301.v20121210-210948,"org.eclipse.ant.ui",1385393731635
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393731853
executed,command,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.edit.text.java.rename.element",1385393731869
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393733289
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393735192
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393736502
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1385393738547
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393754911
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393770215
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393777485
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393778873
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393806424
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393808015
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393809700
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393819762
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393820698
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393852820
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385393919214
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385393923021
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393923130
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393924363
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385393926749
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385393933676
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1385393933816
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1385393949011
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393952848
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393956280
executed,command,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.edit.text.java.rename.element",1385393956296
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393963675
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393969026
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393971288
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393972489
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393975749
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393976436
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.delete",1385393976436
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393997153
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385393998276
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.delete",1385393998291
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385394003564
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385394009196
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1385394017589
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1385394030724
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385394033532
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1385394043954
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1385394058244
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385394061583
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385394061739
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385394064251
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1385394064360
