what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231258128
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1383231281670
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231283356
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231289750
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231303694
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231314635
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231421787
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231472640
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383231472798
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231499997
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231500159
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1383231519572
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1383231521481
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231525102
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231525194
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231533406
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231533515
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.undo",1383231537049
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.undo",1383231538630
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383231573088
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231605568
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231605742
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1383231635060
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1383231642724
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383231664840
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1383231715294
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231718094
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231719039
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231719404
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231723757
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231750727
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231750831
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.undo",1383231753695
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1383231795700
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383231799304
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1383231814179
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1383231823684
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1383231837781
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231850330
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1383231850435
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1383231854035
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383231868987
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1383231873155
