what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20120522-1651,"org.eclipse.jdt.apt.core",1384873376817
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20120522-1651,"org.eclipse.jdt.apt.pluggable.core",1384873376887
started,bundle,org.eclipse.compare.core,3.5.200.v20120522-1148,"org.eclipse.compare.core",1384873379106
started,bundle,org.eclipse.compare,3.5.301.v20130125-135424,"org.eclipse.compare",1384873379113
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873382737
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873392474
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873396250
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873408463
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873413815
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873432999
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873439257
closed,editor,com.umlet.plugin,12.1,"com.umlet.plugin.Editor",1384873439338
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1384873439620
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873439634
started,bundle,org.eclipse.core.variables,3.2.600.v20120521-2012,"org.eclipse.core.variables",1384873440131
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1384873442698
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873442704
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873479492
started,bundle,org.eclipse.wb.core.lib,1.5.1.r42x201209161109,"org.eclipse.wb.core.lib",1384873486947
started,bundle,org.eclipse.wb.core,1.5.1.r42x201209161109,"org.eclipse.wb.core",1384873487026
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873487422
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873487626
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873487687
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1384873489539
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873493238
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1384873498156
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873498293
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873498351
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1384873508361
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1384873554843
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873557659
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873557747
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1384873561170
