what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385049571625
activated,view,org.eclipse.wst.xml.ui,1.1.302.v201301172222,"org.eclipse.wst.xml.ui.views.annotations.XMLAnnotationsView",1385049595429
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385049598443
activated,perspective,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.JavaPerspective",1385049598449
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385049641396
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385049654074
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385049687867
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385049689095
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385049712033
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385049724819
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385050152403
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385050179623
activated,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1385050185284
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1385050193193
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385050636064
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385050645028
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051164196
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051177603
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051293502
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051300897
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051301992
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051312440
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051319765
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051320833
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051448867
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1385051448879
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051456448
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051460854
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1385051464003
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051474590
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1385051491177
