what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1387377852901
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1387377853686
activated,view,org.eclipse.ui.views.log,1.0.300.v20120530-1435,"org.eclipse.pde.runtime.LogView",1387377864610
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377873281
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377877439
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377879163
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377881253
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377882904
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377885246
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377886469
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377888560
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377892258
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377894015
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377895294
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377898743
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377901746
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377903653
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377905508
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377907068
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1387377908040
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377937934
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377956805
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377964076
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387377969637
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1387377971577
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1387377971704
started,bundle,org.eclipse.jdt.junit,3.7.100.v20120523-1543,"org.eclipse.jdt.junit",1387377973161
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387378002844
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387378013671
started,bundle,org.eclipse.wb.core.lib,1.5.1.r42x201209161109,"org.eclipse.wb.core.lib",1387378048204
started,bundle,org.eclipse.wb.core,1.5.1.r42x201209161109,"org.eclipse.wb.core",1387378048256
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1387378048366
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387378049416
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1387378054658
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1387378077692
