what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036591496
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036592317
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036593380
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036608131
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036611903
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036617108
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036634141
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036636350
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036648859
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036650242
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036651727
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036653762
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036655094
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036664705
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036667287
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036674386
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036676216
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036693443
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036694480
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036721671
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036723065
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036724890
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036742069
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036751219
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.copy",1380036760793
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.edit.paste",1380036761868
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036772813
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036775716
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036779942
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036782106
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036784558
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036793692
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036803203
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036846842
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036848101
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036861177
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036865234
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380036907623
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036910386
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036912014
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036912976
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036922184
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1380036922258
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036928826
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036978948
started,bundle,org.eclipse.pde.core,3.8.1.v20130115-200504,"org.eclipse.pde.core",1380036979169
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036982758
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036985734
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036986701
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036991935
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380036993461
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037551129
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037551155
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037552198
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037552233
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037553478
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037562570
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037580822
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380037586238
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037587359
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037589150
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380037600228
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037601452
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037602960
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037624831
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037652899
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037680523
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037683443
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1380037683534
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037706946
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037711355
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037711470
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1380037717879
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037723289
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037728077
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037737141
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037739704
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037751124
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037751263
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037753325
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037783627
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037794253
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037796316
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380037804337
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037819411
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037844963
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110808-1657,"org.eclipse.equinox.p2.garbagecollector",1380037853595
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380037872369
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038206313
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1380038206385
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038207273
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038207433
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038208478
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038209579
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038209608
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038210428
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038210440
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038210495
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038213162
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1380038214196
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038216722
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038244709
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038247742
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038250779
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038252102
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038253461
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038255502
closed,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1380038255540
closed,view,org.eclipse.ui.ide,3.8.2.v20121106-165923,"org.eclipse.ui.views.ProblemView",1380038255559
closed,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1380038255566
closed,view,org.eclipse.ui.views,3.6.100.v20120705-114010,"org.eclipse.ui.views.ContentOutline",1380038255582
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1380038255613
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255621
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255643
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255657
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255677
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255696
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1380038255725
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038255828
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1380038256077
stopped,bundle,org.eclipse.wst.common.snippets,1.2.200.v201204260225,"org.eclipse.wst.common.snippets",1380038256420
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.500.v201203081826,"org.eclipse.wst.xsd.ui",1380038256423
stopped,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1380038256425
stopped,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1380038256432
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.201.v201208241600,"org.eclipse.wst.common.modulecore.ui",1380038256436
stopped,bundle,org.eclipse.wst.common.modulecore,1.2.201.v201301092200,"org.eclipse.wst.common.modulecore",1380038256439
stopped,bundle,com.android.ide.eclipse.ndk,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ndk",1380038256440
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.1.v201305230001--685705,"overlay.com.android.ide.eclipse.adt.overlay",1380038256455
stopped,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1380038256456
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1380038256457
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1380038256460
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1380038256463
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1380038256464
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1380038256469
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1380038256475
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.v20120523-1453,"org.eclipse.pde.ua.ui",1380038256479
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1380038256479
