what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.ui,3.0.3.201309161630-r,"org.eclipse.egit.ui",1382536378059
started,bundle,org.eclipse.jgit,3.0.3.201309161630-r,"org.eclipse.jgit",1382536378059
os,sysinfo,,,"win32",1382536378062
arch,sysinfo,,,"x86_64",1382536378062
ws,sysinfo,,,"win32",1382536378062
locale,sysinfo,,,"en_US",1382536378062
processors,sysinfo,,,"4",1382536378062
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382536378062
java.runtime.version,sysinfo,,,"1.7.0_25-b16",1382536378062
java.specification.name,sysinfo,,,"Java Platform API Specification",1382536378062
java.specification.vendor,sysinfo,,,"Oracle Corporation",1382536378062
java.specification.version,sysinfo,,,"1.7",1382536378062
java.vendor,sysinfo,,,"Oracle Corporation",1382536378062
java.version,sysinfo,,,"1.7.0_25",1382536378062
java.vm.info,sysinfo,,,"mixed mode",1382536378062
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1382536378062
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382536378062
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382536378062
java.vm.specification.version,sysinfo,,,"1.7",1382536378062
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382536378062
java.vm.version,sysinfo,,,"23.25-b01",1382536378062
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1382536378064
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382536378591
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1382536378616
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1382536379148
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1382536381253
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1382536381264
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1382536381716
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1382536381746
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1382536381757
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382536381982
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382536423745
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382536671288
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382536676721
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540279801
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540334149
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540334298
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540334883
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540335473
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540368208
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540368596
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540370702
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540370762
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540372422
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540373100
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540460245
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540466261
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540616051
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540617564
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540618438
closed,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1382540618703
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1382540618719
closed,view,org.eclipse.ui.ide,3.8.2.v20121106-165923,"org.eclipse.ui.views.ProblemView",1382540618734
closed,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1382540618750
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1382540618765
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540619062
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1382540619811
stopped,bundle,org.eclipse.wst.common.snippets,1.2.200.v201204260225,"org.eclipse.wst.common.snippets",1382540620481
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.500.v201203081826,"org.eclipse.wst.xsd.ui",1382540620497
stopped,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1382540620513
stopped,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1382540620544
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.201.v201208241600,"org.eclipse.wst.common.modulecore.ui",1382540620559
stopped,bundle,org.eclipse.wst.common.modulecore,1.2.201.v201301092200,"org.eclipse.wst.common.modulecore",1382540620606
stopped,bundle,com.android.ide.eclipse.ndk,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ndk",1382540620622
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.1.v201305230001--685705,"overlay.com.android.ide.eclipse.adt.overlay",1382540620653
stopped,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1382540620653
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1382540620669
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1382540620684
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1382540620715
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1382540620715
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1382540620715
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1382540620747
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.v20120523-1453,"org.eclipse.pde.ua.ui",1382540620778
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1382540620809
stopped,bundle,org.eclipse.pde.ds.ui,1.0.200.v20120530-1435,"org.eclipse.pde.ds.ui",1382540620825
stopped,bundle,org.eclipse.pde.runtime,3.4.300.v20120523-1453,"org.eclipse.pde.runtime",1382540620840
stopped,bundle,org.eclipse.pde.ui.templates,3.4.500.v20120523-2012,"org.eclipse.pde.ui.templates",1382540620856
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.5.1.r42x201209161301,"org.eclipse.wb.rcp.SWT_AWT",1382540620871
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.databinding.emf",1382540620903
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.1.r42x201209161246,"org.eclipse.wb.rcp.databinding.xwt",1382540620903
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.databinding",1382540620949
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.nebula",1382540620949
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.swing2swt",1382540620965
stopped,bundle,org.eclipse.wb.xwt,1.5.1.r42x201209161246,"org.eclipse.wb.xwt",1382540621012
stopped,bundle,org.eclipse.wb.rcp,1.5.1.r42x201209161238,"org.eclipse.wb.rcp",1382540621043
stopped,bundle,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui",1382540621043
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20120521-2344,"org.eclipse.ui.cheatsheets",1382540621074
stopped,bundle,org.eclipse.help.ui,3.5.201.v20130108-092756,"org.eclipse.help.ui",1382540621090
stopped,bundle,org.eclipse.help.webapp,3.6.101.v20130116-182509,"org.eclipse.help.webapp",1382540621121
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1382540621121
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1382540621152
stopped,bundle,org.eclipse.ui.intro.universal,3.2.600.v20120912-155524,"org.eclipse.ui.intro.universal",1382540621183
stopped,bundle,org.eclipse.ui.intro,3.4.200.v20120521-2344,"org.eclipse.ui.intro",1382540621199
stopped,bundle,org.eclipse.help.base,3.6.101.v201302041200,"org.eclipse.help.base",1382540621230
stopped,bundle,org.eclipse.equinox.http.jetty,3.0.1.v20121109-203239,"org.eclipse.equinox.http.jetty",1382540621246
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1382540621308
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1382540621355
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1382540621355
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1382540621355
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1382540621386
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1382541002025
started,bundle,org.eclipse.osgi,3.8.2.v20130124-134944,"org.eclipse.osgi",1382541002025
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1382541002025
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.301.v20120914-163612,"org.eclipse.equinox.simpleconfigurator",1382541002025
started,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1382541002025
started,bundle,com.android.ide.eclipse.base,22.0.1.v201305230001--685705,"com.android.ide.eclipse.base",1382541002025
started,bundle,org.apache.felix.gogo.command,0.8.0.v201108120515,"org.apache.felix.gogo.command",1382541002025
started,bundle,org.apache.felix.gogo.runtime,0.8.0.v201108120515,"org.apache.felix.gogo.runtime",1382541002035
started,bundle,org.apache.felix.gogo.shell,0.8.0.v201110170705,"org.apache.felix.gogo.shell",1382541002035
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1382541002035
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1382541002035
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1382541002035
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1382541002035
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1382541002035
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1382541002035
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1382541002035
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1382541002055
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1382541002055
