what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194033622
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194130827
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194130921
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194135554
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194150920
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194252306
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194316532
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194326578
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1389194386639
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1389194386702
started,bundle,org.eclipse.pde.api.tools,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools",1389194386733
started,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1389194386733
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.save",1389194452363
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194551065
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194553421
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194553546
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194554638
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194555667
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194557851
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194557992
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194559099
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1389194561003
