what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1381334458160
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1381334458160
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1381334458160
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1381334458160
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1381334458175
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1381334458175
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1381334458175
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1381334458175
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1381334458175
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1381334458175
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20120522-1651,"org.eclipse.jdt.apt.core",1381334458175
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20120522-1651,"org.eclipse.jdt.apt.pluggable.core",1381334458175
started,bundle,org.eclipse.jdt.core,3.8.3.v20130121-145325,"org.eclipse.jdt.core",1381334458175
started,bundle,org.eclipse.jdt.core.manipulation,1.5.0.v20120523-1543,"org.eclipse.jdt.core.manipulation",1381334458175
started,bundle,org.eclipse.jdt.debug,3.7.101.v20120913-153601,"org.eclipse.jdt.debug",1381334458175
started,bundle,org.eclipse.jdt.debug.ui,3.6.100.v20120530-1425,"org.eclipse.jdt.debug.ui",1381334458175
started,bundle,org.eclipse.jdt.launching,3.6.101.v20130111-183046,"org.eclipse.jdt.launching",1381334458175
started,bundle,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui",1381334458175
started,bundle,org.eclipse.pde.launching,3.6.100.v20120605-203027,"org.eclipse.pde.launching",1381334458175
started,bundle,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui",1381334458175
started,bundle,org.eclipse.ui.trace,1.0.1.v20121204-224553,"org.eclipse.ui.trace",1381334458175
started,bundle,org.eclipse.ui.views.log,1.0.300.v20120530-1435,"org.eclipse.ui.views.log",1381334458175
started,bundle,org.eclipse.wb.discovery.core,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.core",1381334458175
started,bundle,org.eclipse.wb.discovery.ui,1.5.1.r42x201209161116,"org.eclipse.wb.discovery.ui",1381334458175
started,bundle,org.eclipse.egit.core,3.0.3.201309161630-r,"org.eclipse.egit.core",1381334458175
started,bundle,org.eclipse.egit.ui,3.0.3.201309161630-r,"org.eclipse.egit.ui",1381334458175
started,bundle,org.eclipse.jgit,3.0.3.201309161630-r,"org.eclipse.jgit",1381334458175
os,sysinfo,,,"win32",1381334458175
arch,sysinfo,,,"x86_64",1381334458175
ws,sysinfo,,,"win32",1381334458175
locale,sysinfo,,,"en_US",1381334458175
processors,sysinfo,,,"4",1381334458175
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1381334458175
java.runtime.version,sysinfo,,,"1.7.0_25-b16",1381334458175
java.specification.name,sysinfo,,,"Java Platform API Specification",1381334458175
java.specification.vendor,sysinfo,,,"Oracle Corporation",1381334458175
java.specification.version,sysinfo,,,"1.7",1381334458175
java.vendor,sysinfo,,,"Oracle Corporation",1381334458175
java.version,sysinfo,,,"1.7.0_25",1381334458175
java.vm.info,sysinfo,,,"mixed mode",1381334458175
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1381334458175
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1381334458175
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1381334458175
java.vm.specification.version,sysinfo,,,"1.7",1381334458175
java.vm.vendor,sysinfo,,,"Oracle Corporation",1381334458175
java.vm.version,sysinfo,,,"23.25-b01",1381334458175
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1381334458191
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334461857
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1381334461904
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334464431
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334464509
opened,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334466771
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334466833
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334469938
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334471654
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334471654
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334472496
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334474992
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334480031
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334480920
activated,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334490717
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1381334490920
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1381334490920
started,bundle,org.eclipse.wb.core.lib,1.5.1.r42x201209161109,"org.eclipse.wb.core.lib",1381334491684
started,bundle,org.eclipse.wb.core,1.5.1.r42x201209161109,"org.eclipse.wb.core",1381334491700
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.saveAll",1381334491762
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334493042
activated,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1381334572876
started,bundle,org.eclipse.compare,3.5.301.v20130125-135424,"org.eclipse.compare",1381334573391
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334575419
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334595949
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.export",1381334595964
executed,command,org.eclipse.ui,3.104.0.v20121024-145224,"org.eclipse.ui.file.export",1381334595964
deactivated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334605855
activated,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334606884
closed,view,org.eclipse.ui.ide,3.8.2.v20121106-165923,"org.eclipse.ui.views.ProblemView",1381334606900
closed,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1381334606915
closed,editor,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.CompilationUnitEditor",1381334606915
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1381334606947
closed,view,org.eclipse.jdt.ui,3.8.2.v20130107-165834,"org.eclipse.jdt.ui.PackageExplorer",1381334606962
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334607118
closed,workbench,org.eclipse.ui.workbench,3.104.0.v20130204-164612,"",1381334607321
stopped,bundle,org.eclipse.wst.common.snippets,1.2.200.v201204260225,"org.eclipse.wst.common.snippets",1381334607571
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.500.v201203081826,"org.eclipse.wst.xsd.ui",1381334607571
stopped,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1381334607571
stopped,bundle,org.eclipse.draw2d,3.7.2.v20111017-2020,"org.eclipse.draw2d",1381334607571
stopped,bundle,org.eclipse.wst.common.modulecore.ui,1.0.201.v201208241600,"org.eclipse.wst.common.modulecore.ui",1381334607586
stopped,bundle,org.eclipse.wst.common.modulecore,1.2.201.v201301092200,"org.eclipse.wst.common.modulecore",1381334607586
stopped,bundle,com.android.ide.eclipse.ndk,22.0.1.v201305230001--685705,"com.android.ide.eclipse.ndk",1381334607586
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.1.v201305230001--685705,"overlay.com.android.ide.eclipse.adt.overlay",1381334607586
stopped,bundle,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.adt",1381334607586
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1381334607586
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1381334607586
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1381334607586
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1381334607586
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1381334607586
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1381334607586
stopped,bundle,org.eclipse.pde.ua.ui,1.0.200.v20120523-1453,"org.eclipse.pde.ua.ui",1381334607586
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.400.v20120523-2012,"org.eclipse.pde.api.tools.ui",1381334607586
stopped,bundle,org.eclipse.pde.ds.ui,1.0.200.v20120530-1435,"org.eclipse.pde.ds.ui",1381334607586
stopped,bundle,org.eclipse.pde.runtime,3.4.300.v20120523-1453,"org.eclipse.pde.runtime",1381334607586
stopped,bundle,org.eclipse.pde.ui.templates,3.4.500.v20120523-2012,"org.eclipse.pde.ui.templates",1381334607586
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.5.1.r42x201209161301,"org.eclipse.wb.rcp.SWT_AWT",1381334607586
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.databinding.emf",1381334607586
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.5.1.r42x201209161246,"org.eclipse.wb.rcp.databinding.xwt",1381334607602
stopped,bundle,org.eclipse.wb.rcp.databinding,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.databinding",1381334607602
stopped,bundle,org.eclipse.wb.rcp.nebula,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.nebula",1381334607602
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.5.1.r42x201209161238,"org.eclipse.wb.rcp.swing2swt",1381334607602
stopped,bundle,org.eclipse.wb.xwt,1.5.1.r42x201209161246,"org.eclipse.wb.xwt",1381334607602
stopped,bundle,org.eclipse.wb.rcp,1.5.1.r42x201209161238,"org.eclipse.wb.rcp",1381334607602
stopped,bundle,org.eclipse.pde.ui,3.7.2.v20130121-093123,"org.eclipse.pde.ui",1381334607602
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.200.v20120521-2344,"org.eclipse.ui.cheatsheets",1381334607602
stopped,bundle,org.eclipse.help.ui,3.5.201.v20130108-092756,"org.eclipse.help.ui",1381334607602
stopped,bundle,org.eclipse.help.webapp,3.6.101.v20130116-182509,"org.eclipse.help.webapp",1381334607602
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1381334607602
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1381334607602
stopped,bundle,org.eclipse.ui.intro.universal,3.2.600.v20120912-155524,"org.eclipse.ui.intro.universal",1381334607602
stopped,bundle,org.eclipse.ui.intro,3.4.200.v20120521-2344,"org.eclipse.ui.intro",1381334607602
stopped,bundle,org.eclipse.help.base,3.6.101.v201302041200,"org.eclipse.help.base",1381334607602
stopped,bundle,org.eclipse.equinox.http.jetty,3.0.1.v20121109-203239,"org.eclipse.equinox.http.jetty",1381334607602
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1381334607617
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1381334607617
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1381334607617
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1381334607617
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1381334607617
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1381334607617
stopped,bundle,org.eclipse.m2e.model.edit,1.0.200.20111228-1245,"org.eclipse.m2e.model.edit",1381334607617
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.700.v201203081826,"org.eclipse.wst.dtd.ui",1381334607617
stopped,bundle,org.eclipse.wst.dtd.core,1.1.600.v201205171933,"org.eclipse.wst.dtd.core",1381334607617
stopped,bundle,org.eclipse.wb.core.databinding.xml,1.5.1.r42x201209161132,"org.eclipse.wb.core.databinding.xml",1381334607617
stopped,bundle,org.eclipse.wb.core.xml,1.5.1.r42x201209161132,"org.eclipse.wb.core.xml",1381334607617
stopped,bundle,org.eclipse.wst.xml.ui,1.1.302.v201301172222,"org.eclipse.wst.xml.ui",1381334607617
stopped,bundle,org.eclipse.wst.xsd.core,1.1.700.v201204102147,"org.eclipse.wst.xsd.core",1381334607617
stopped,bundle,org.eclipse.wst.xml.core,1.1.702.v201301101836,"org.eclipse.wst.xml.core",1381334607617
stopped,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1381334607617
stopped,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1381334607617
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1381334607617
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1381334607633
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1381334607633
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1381334607633
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1381334607633
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1381334607633
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1381334607633
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1381334607633
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1381334607633
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1381334607649
